full_text
"Keseruan Bapak @erickthohir di IKN bersama Bapak Presiden @jokowi  Para menteri, artis, influenser, para pekerja konstruksi, dan masyarakat  #GueBarengErickThohir https://t.co/yqWpHGQiw1"
"Presiden turut berharap kehadiran RS Abdi Waluyo di IKN dapat menjadi sebuah daya tarik bagi masyarakat tidak hanya di kawasan IKN, ... https://t.co/d3j0sAW26E"
"@KompasTV Merdu kan bu?  Nah, rumahnya yg di pulau Jawa jualin saja semua, dan pindah ke IKN. Sekaligus ngasih contoh ke masyarakat, bahwa pejabatnya juga dengan senang hati tinggal di IKN 🤫"
@KompasTV Kalau yang ngomong dari tahun 2012 sudah ngibul terus ..ya gua nggak bisa percaya deh hanya karena IKN maka PSSI bisa berjaya. tanpa IKN pun tentunya PSSI mampu berjaya..Rupanya kibulannya hanya untuk memikat masyarakat pecinta bola terhadap IKN
"Hadiri Malam Apresiasi Nusantara, Presiden: Terima Kasih Masyarakat dan Pekerja IKN https://t.co/tCerKQ0NIJ lewat @Liputan86"
"@Alucard19689209 @registaco IKN susah bang buat diakalin,itu pak basuki bolak balik visit sama presiden ,proyek yang diperhatikan seluruh elemen pemerintah-masyarakat ini 🤣 dapet info kalo banyak yang gamau kerja di ikn ya salahsatunya proyeknya susah buat diakalin itu wkwk jadi kemungkinan hasilnya baguss"
"Hadiri Pagelaran Musik di IKN, Presiden Jokowi Ucapkan Terima Kasih ke Masyarakat dan Pekerja https://t.co/qKogzSPB9n"
@KompasTV apakah dengan selesainya IKN akan terdengar lagi suara serangga dan jangkrik yang merdu itu? yang ada suara jeritan hati masyarakat karena di huni oleh orang asing
"Hadiri Malam Apresiasi Nusantara, Presiden Jokowi: Terima Kasih Masyarakat dan Pekerja IKN  Ini akan kita pakai sebagai bahan dalam merencanakan peta jalan menuju Indonesia Maju 2045. Nanti yang menikmati yang muda-muda ini,"" tandasnya. https://t.co/mR9aeGuBTj https://t.co/PuIWPnVrR2"""
SEKDA PAPARKAN GAGASAN KOLABORASI PEMBERDAYAAN MASYARAKAT MENDUKUNG IKN https://t.co/3V1pubyRSh via @BeritaIrn https://t.co/lkMFOoBZ8m
@KompasTV Training center  diperbanyak di IKN sementara itu msh banyak masyarakat menengah dan bawah yg cukup makan 15-20hr saja dr gaji/upah mereka
"@QianzyZ Kok masyarakat kalimantan? Wong yg punya tanah disana itu adlh Tan Kang Hoo, Hashim J, Keluarga LBP, Yusril, dkk kok, knapa jd terima kasihnya ke Masyarakat Kalimantan? Ohhh... Mgk maksud kamu terima kasih kpd rakyat Kalimantan krn sdh mjd penonton &amp  pendukung IKN yg baik kali?"
"@tvOneNews Bagian orang2 pemerintah melakukan tindakan represif dan arogan kepada masyarakat tp Presidennya seolah g tau apa2!! Mlh haha hihi di IKN, itupun keputusan sepihak pemerintah, mgkn orang2 sprti itu g takut sm Penciptanya, apasaja dilanggar demi mulusin kepentingannya!"
"Jokowi sebut RS Abdi Waluyo di IKN tidak hanya akan melayani masyarakat umum. Tapi, akan dikembangkan ke arah sport medicine hingga sport research https://t.co/iiiQuVKLYW"
"@DittoRadhitya @detikcom @DPR_RI @FPD_DPR @FPKSDPRRI @Fraksi_Gerindra @fraksigolkar @FraksiPKB @AJIIndonesia @antaranews @BBCIndonesia @BEMUI_Official @BEMFISIPUI @agusjabo333 @AnthonyBudiawan @ariexvamrompas @Dandhy_Laksono @elisa_jkt @emilsalim2010 @evimsofian @FaisalBasri @faridgaban @feriamsari @GreenpeaceID @idbaruid @mkusumawijaya @SeknasKPA @tempodotco @tvOneNews @UbedilahB @walhinasional @YLBHI @zainalamochtar Obral #IKN semakin menjadi-jadi.""  Menarik baca komentar warga masyarakat di bawah:  https://t.co/OhFPTZdCKT"""
"@jokowi Mengapa terkesan buru buru membangun IKN...Apakah itu tidak menelan biaya yang sangat banyak...Apa kah bapak tau masyarakat masih gundah mikirin hutang dan pangan ....di daerah saya banyak sekali yang mengeluh tentang ekonomi,,bahkan banyak yang ingin merantau jadi TKI.."
1705109915621343348
"dengan caption, Senang sekali bisa mengunjungi Ibu Kota Negara (IKN) Nusantara di Kalimantan Timur bersama Menteri PUPR @basuki_hadimuljono! Semoga pembangunan IKN dapat memberikan manfaat yang besar bagi masyarakat Indonesia. Teruslah bekerja"""
"dengan caption, Senang sekali bisa mengunjungi Ibu Kota Negara (IKN) Nusantara di Kalimantan Timur bersama Menteri PUPR @basuki_hadimuljono! Semoga pembangunan IKN dapat memberikan manfaat yang besar bagi masyarakat Indonesia. Teruslah bekerja"""
santai dan semangat dalam memimpin pembangunan IKN. Semoga proyek ini dapat memberikan manfaat yang besar bagi masyarakat Indonesia. #IKN #PembangunanNusantara
"dengan caption, Senang sekali bisa mengunjungi Ibu Kota Negara (IKN) Nusantara di Kalimantan Timur bersama Menteri PUPR @hadimuljono. Semoga pembangunan IKN dapat berjalan lancar dan memberikan manfaat besar bagi masyarakat Indonesia. #IKN #KalimantanTimur #PembangunanNasional"""
"Mau deh ke IKN bole gasi kalo masyarakat kesono untuk liat aja?  https://t.co/kC7vmXl5um"""
"Selain peresmian nama resmi KCJB, pemerintah juga tengah melakukan sayembara pemilihan logo Whoosh yang saat ini sudah terpilih 3 logo berbeda. Sama seperti pemilihan logo IKN, masyarakat juga bisa memilih logo yang akan diunggah melalui laman resmi https://t.co/a9YUM9eqO8"
Jokowi di IKN. Semoga pembangunan IKN dapat berjalan lancar dan memberikan manfaat bagi masyarakat Indonesia. 🌞🇮🇩 #IKN #PembangunanIbuKotaNusantara
Januari 2022. Semoga pembangunan IKN berjalan lancar dan memberikan manfaat yang besar bagi masyarakat Indonesia. 🌄👷‍♂️🇮🇩 #IKN #PresidenJokowi
"@cimotyy kereeen inilah yang selama ini diidam-idamkan masyarakat pecinta sepak bola di tanah air, sebuah training center yang akan menunjang prestasi timnas. alhamdulillah akhirnya #TCBolaDibangun di IKN, semoga dunia sepak bola kita semakin membaik kedepannya."
@jokowi Seandainya dana pembangunan ikn di gunakan untuk subsidi bbm subsidi buku dan menaikan gaji guru betapa bergunanya uang itu untuk masyarakat
"@cimotyy alhamdulilah.. semoga niat baik akan membawa hal yang baik. manfaat training center di IKN ini tidak cuma dirasakan oleh pemain, tetapi juga seluruh masyarakat indonesia sebagai pendukung  #TCBolaDibangun"
"dengan semangat yang penuh! Semoga kunjungan kerja ini dapat membawa kemajuan yang positif bagi IKN dan juga masyarakat Indonesia. Teruslah berusaha dan berinovasi, karena masa depan kita ada di tangan kita sendiri! 💪🇮🇩 #IKN #KemajuanNegara"
langsung perkembangan proyek tersebut. Beliau menyampaikan bahwa pembangunan IKN merupakan salah satu langkah strategis untuk mempercepat pertumbuhan ekonomi dan meningkatkan kesejahteraan masyarakat. Semoga proyek ini dapat berjalan
"@AdjieDarma10 @jokowi Seperti selama ini yg dibangun jokowi berguna utk masyarakat, saya mendoakan ikn sukses dilanjutkan oleh pemimpin berikutnya"
"Proyek IKN itu puncak komedi dari konsolidasi para super elite penguasa x pengusaha yg lapar lahan yg didorong fantasi atas masyarakat yg teratur dan patuh (gate community), berapapun ongkosnya demi mewujudkan distopia tsb.    https://t.co/YFTjjW60Zg"
